plant	time	x	y	r_stem	h_stem	r_crown	r_root	growth	ag_resources	bg_resources
Initial_000000001	0.0	10.0	11.0	0.0578281884412867	4.51153085664295	1.50012328699222	0.926942149712091	NaN	NaN	NaN
Initial_000000002	0.0	12.0	11.0	0.0123232096587272	1.9776990151532	0.499186547499313	0.308854210975212	NaN	NaN	NaN
Initial_000000001	1000000.0	10.0	11.0	0.057971365280677034	4.516336486579572	1.5028321528629247	0.9286165172224427	0.0006864548753279658	0.17674363677138427	0.1710301272081544
Initial_000000002	1000000.0	12.0	11.0	0.012431240301347792	1.9908349356798771	0.5020591750384131	0.3106303036605131	8.632350049760149e-05	0.019571117645118024	0.01953752905959354
Initial_000000001	2000000.0	10.0	11.0	0.05811453301290236	4.521133970993994	1.5055389849906182	0.9302896456111526	0.0006886804894949109	0.17738252703644922	0.17164108379679274
Initial_000000002	2000000.0	12.0	11.0	0.012539533878317893	2.0038887928806957	0.5049358167805114	0.3124088104587085	8.728520160687459e-05	0.019797014338938223	0.019759463109217917
Initial_000000001	3000000.0	10.0	11.0	0.058257691333063806	4.525923339133789	1.5082437830250102	0.9319615346546717	0.0006909069416209492	0.1780220889854666	0.1722526638928554
Initial_000000002	3000000.0	12.0	11.0	0.012648090251622848	2.0168618585691873	0.5078164199774969	0.31418969986300904	8.825327783980438e-05	0.020024525637933634	0.019982946250469313
Initial_000000001	4000000.0	10.0	11.0	0.058400839938229976	4.530704620076668	1.5109465466425616	0.9336321841456235	0.0006931342191053619	0.1786623199412769	0.1728648649822977
Initial_000000002	4000000.0	12.0	11.0	0.01275690922988502	2.0297553718416887	0.5107009321126775	0.31597294048659696	8.922772732747993e-05	0.02025365277610827	0.020207979360920208
Initial_000000001	5000000.0	10.0	11.0	0.0585439785274247	4.535477842731833	1.5136472755461985	0.9353015938926317	0.000695362309394089	0.1793032172344242	0.17347768455848436
Initial_000000002	5000000.0	12.0	11.0	0.012865990570685442	2.0425705402526555	0.5135893009037151	0.3177585010656359	9.020854789393422e-05	0.02048439691802127	0.020434563252419016
Initial_000000001	6000000.0	10.0	11.0	0.05868710680161484	4.540243035841314	1.5163459694650294	0.9369697637201486	0.0006975911999796307	0.17994477820314558	0.17409112012217784
Initial_000000002	6000000.0	12.0	11.0	0.012975333982771608	2.055308540936134	0.516481474305572	0.3195463504621021	9.11957370587792e-05	0.02071675915922267	0.020662698671589572
Initial_000000001	7000000.0	10.0	11.0	0.05883022446369823	4.545000227981294	1.5190426281540639	0.9386366934682872	0.0006998208784009465	0.18058700019336124	0.17470516918152593
Initial_000000002	7000000.0	12.0	11.0	0.013084939128159981	2.0679705216763726	0.5193774005134146	0.3213364576664622	9.218929203981164e-05	0.02095074052670447	0.020892386300324965
Initial_000000001	8000000.0	10.0	11.0	0.05897333121849162	4.549749447563422	1.5217372513939353	0.9403023829926525	0.0007020513322433535	0.18122988055866343	0.17531982925204972
Initial_000000002	8000000.0	12.0	11.0	0.013194805624140245	2.0805576019303653	0.5222770279654463	0.32312879180021775	9.31892097556129e-05	0.021186341979362665	0.02112362675628054
Initial_000000001	9000000.0	10.0	11.0	0.059116426772718694	4.554490722836108	1.5244298389906257	0.9419668321641762	0.0007042825491384268	0.1818734166603063	0.17593509785663156
Initial_000000002	9000000.0	12.0	11.0	0.013304933045187258	2.093070873804933	0.5251803053456557	0.32492332211833197	9.419548682815372e-05	0.021423564408467783	0.021356420593368536
Initial_000000001	10000000.0	10.0	11.0	0.05925951083499823	4.559224081885811	1.5271203907751931	0.9436300408689523	0.0007065145167638944	0.1825176058671944	0.17655097252550184
Initial_000000002	10000000.0	12.0	11.0	0.013415320924786141	2.105511402990791	0.5280871815864737	0.3267200180115485	9.520811958541034e-05	0.0216624086381425	0.02159076830225561
Initial_000000001	11000000.0	10.0	11.0	0.059402583115832255	4.563949552638312	1.5298089066035019	0.945292009008074	0.0007087472228435365	0.18316244555587227	0.17716745079622698
Initial_000000002	11000000.0	12.0	11.0	0.013525968757175393	2.117880229655896	0.5309976058713356	0.32851884900861067	9.622710406399509e-05	0.021902875425845514	0.021826670310863983
Initial_000000001	12000000.0	10.0	11.0	0.059545643327594294	4.5686671628599695	1.5324953863559547	0.9469527364974726	0.0007109806551470815	0.18380793311051252	0.17778453021369628
Initial_000000002	12000000.0	12.0	11.0	0.013636875999012608	2.1301783693002183	0.5339115276371484	0.33031978477838686	9.725243601180194e-05	0.022144965462860988	0.022064126984876274
Initial_000000001	13000000.0	10.0	11.0	0.05968869118451771	4.573376940158972	1.5351798299372283	0.9486122232677578	0.0007132148014900999	0.18445406592290456	0.17840220833010875
